📍 See this list on Google Maps,,,,Donate to keep MALAN running! ,,,,,,,
,,,"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,
Los Angeles,,Coop LA,Free Items,"7282 Beverly Blvd, Los Angeles, 90036",,,,get free clothes 10am-6pm on 1/10/25,,,
Los Angeles,,Suay,"Free Items, Free Prepared Meals","905 Mateo St, Los Angeles, CA 90021",,,,masks and free clothing Saturday and Sunday,if you are an org or a shelter in need please contact them directly ,https://www.instagram.com/suaysewshop/,
Santa Monica,,"OpenClosit, Elizabeth Turner","Free Items, Donation Drives","905 Mateo street, Los Angeles, California 90021",,,"clothing (have enough women's, need mens/kids/babies clothes), clean socks, tampons/pads, blankets, towels, N95 and P100 masks, batteries, powder banks, canned foods, non perishables, instant oatmeal, ramen cups, snacks, drinking water, eyeglasses, contact solution, first aid supplies, dog/cat food, meal replacement bars and energy drinks and coffee",listed items as well as 1 week packs of dog and cat food,"coffeeshops, anyone with access to coffee and energy drinks, please contact them. these will go straight to first responders. also they are currently not in evacuation zone but do have a plan b to move if necessary. they are also taking monetary donations",@ openclosit OR @ elizabethcturner on nsta,
Los Angeles,,Project Angel Food,Free Items,"230 W. Ave 26, Los Angeles, CA 90031 in Lincoln Heights",,seeking immediate volunteers for both delivery and in the kitchen over the next several days. Please call (323) 845-1816 or email us at volunteers@angelfood.org to volunteer.,,,"Seeking volunteers for these times:
Friday Jan 10 8AM-12PM, 1PM-4PM
Sunday Jan 12 8AM-12PM, 1PM-4PM",Instagram Post,
Los Angeles,,Travis Garret Long ,Free Items,traveling by car,,,,clothes,he has all his clothes in his car and can drive to and drop off clothes to anyone in need,@ travisgarretlong on insta,
Los Angeles,,Obet & Del's,Donation Drives,"5233 Hollywood Blvd, Los Angeles, CA 90027",,"Seeking: baby gear, clothes for kids/adults/babies, diapers, toys, unopened toiletries, outerwear to distribute to a family in Altadena",,,,,
Northridge,,North Valley YMCA,Services,"11336 Corbin Ave, Northridge, CA 91326",,,,CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,,@ lacarehealth,
Los Angeles,,UCLA Gen Rep Mutual Aid,"Free Items, Donation Drives",UCLA The Hill (in front of Saxon Suites),,,," Face masks • Food & snacks • Water, energy drinks, & coffee • Destress equipment • Personal hygiene products • Sunglasses • Fire safety & additional mutual aid resource information",1/10 from 9AM-12PM,@ genrep1,
Los Angeles,,Ketchum-Downtown YMCA,"Services, Donation Drives","401 S Hope St, Los Angeles, CA 90071",,,"Water
Non perishables
Clothes
Flashlights and batteries
Toiletries (toothbrushes, toothpaste, soap, shampoo, and feminine products)
Gently used shoes or clothes
Blankets and towels
Baby formula and baby food",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,,@ lacarehealth,
Culver City,,Culver-Palms Family YMCA,"Services, Donation Drives","4500 Sepulveda Blvd, Culver City, CA 90230",,,"Baby formula and baby food
Baby clothing and other items
Diapers, wipes",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,,@ lacarehealth,
Los Angeles,,East Valley North Hollywood YMCA,Services,"5142 Tujunga Ave, North Hollywood, CA 91601",,,,CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,,@ lacarehealth,
Greater LA Area,,Van Nuys Mid Valley YMCA,Services,"6901 Lennox Ave, Van Nuys, CA 91405",,,,CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,,@ lacarehealth,
Los Angeles,,West Valley Reseda YMCA,Services,"18810 Vanowen St, Reseda, CA 91335",,,,CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,,@ lacarehealth,
Burbank,,Burbank San Fernando Valley YMCA,Services,"321 E Magnolia Blvd, Burbank, CA 91502",,,,CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,@ lacarehealth,
Los Angeles,,The Outsider Boxing Gym,Services,9089 Santa Monica Blvd 90069 ,,,,,boxing gym open and welcoming folks to train together and talk about how to support the community. have been personally and is a woman friendly place! great folks and great third space during this time,@ theoutsiderboxing,
San Fernando Valley,,Hope the Mission,Shelter,"16641 Roscoe Pl., North Hills, CA",,,"Toiletries, bedding, water",,,,
Pasadena,,Pasadena City College,"Free Items, Donation Drives","Pasadena City College Colorado Campus, 1570 E Colorado Blvd, Pasadena, 91105
Lot 3 near the corner of Del Mar Blvd & Hill Ave",,,,"Items available for distribution include pre-packaged snacks, canned foods, bottled water, hygiene kits, baby supplies, pet food, and clothing.","Community Relief Support will be taking place Friday, January, 10th, from 9 a.m. to 8 p.m. ",@ pcclancer,
Remote,,Inclusivaction Emergency Cash Assistance,"Free Items, Services",,,,"accepting donations for the fund
https://www.gofundme.com/f/cash-aid-for-outdoor-workers-impacted-by-la-county-wildfires?attribution_id=sl:b8081614-a7d5-4673-9a7e-4c8e8dddeaec&utm_campaign=man_ss_icons&utm_medium=customer&utm_source=copy_link","emergency fund - providing direct cash assistance to street vendors, landscape workers, recyclers, and other outdoor workers who live and work in fire areas. apply for 500 dollars by jan 17 at inclusiveaction.org/workeraid",,@ inclusivaction,
Los Angeles,,Snatched Beauties ,Donation Drives,"5710 Manchester Ave Ste. 211, Los Angeles, 90045
They share the same parking lot as Denny's.",,,"All Cash Donations will help with: Prescriptions, Room Fare, Clothing, Gas and etc.
MOST NEEDED ITEMS: Blankets & Water © Canned Goods • Baby Items, Food, Clothes, Etc. 
ACCEPTING CASH DONATIONS AND PREPAID CARDS Cashapp: SNATCHEDBEAUTIES and Zelle: SNATCHEDBEAUTIES@ICLOUD.COM",,Drop hours: 9am-8pm everday until further notice ,@ snatched_beauties,
Los Angeles,,Obets & Dels,"Free Items, Donation Drives",5233 Hollywood Blvd.,,,"Baby Gear Clothes for Baby, Kids & Adults Diapers Adult Clothes Toys Unopened Toiletries Outerwear ",,Drop between 6:30am-2pm ,@ obetanddels,
Pasadena,,Foothill Unity Center,"Free Items, Donation Drives","191 N. Oak., Ave, Pasadena 91107",,,Water Flashlights/Batteries Face masks New pillows Blankets Dry Pet Food  and Monetary donations to link in their bio,"We will have food, water, clothing, masks and other essentials available for those in need.",Text HOPE to 41444,@ foothillunitycenter,
Los Angeles,,Leona Valley Ranch,Animal Boarding,"email for address, in Leona Valley",horses boarding,,,,5 acre ranch. I have 2 horse pastures that need some work but the fencing is solid. I'm sure I can rally help to do any repairs if anyone needs a place for horses. It's about 1.5 acres of land. Not being used for anything yet. Please feel free to add me to any list. Buko Pan Guerra. My email is bukopanguerra@gmail.com.,,
San Pedro,,ANN & STEVE HINCHLIFFE SAN PEDRO & PENINSULA YMCA,Donation Drives,"301 S Bandini St, San Pedro, CA 90731",,,"Non-perishable items, clothing, blankets",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,Phone Number: 310 832 4211,,
Los Angeles,,COLLINS & KATZ FAMILY YMCA,Donation Drives,"1466 S Westgate Ave, Los Angeles, CA 90025",,,"Water
Non perishables
Clothes
Flashlights and batteries
Toiletries (toothbrushes, toothpaste, soap, shampoo, and feminine products)
Gently used shoes or clothes
Blankets and towels
Baby formula and baby food",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,310 477 1511,,
Los Angeles,,HOLLYWOOD YMCA,Donation Drives,"1553 Schrader Blvd, Los Angeles, CA 90028",,,"Toiletries (toothbrushes, toothpaste, soap, shampoo, and feminine products) –
Blankets and towels
Baby formula and baby food
Clothing and shoes (new or gently used)
Pet food and supplies
Non-perishable food items such as canned goods, pasta, rice, and snacks",CHILD CARE: YMCA centers open for child care for students TK-8th grade on Jan 9 and Jan 10 (will update on whether they are doing more days). Contact afterschool@ymcala.org. Open to children of essential workers and children of families who have been displaced.,Phone Number: 323 467 4161,,
Greater LA Area,,Entertainment Community Fund,"Information, Services",,,,,,"A National human services organization for entertainment and performing arts professionals. Services include social services and emergency financial assistance in times of unexpected critical need, health insurance, resource center, counseling and crisis support, and more.
Website: entertainmentcommunity.org/gethelp Email: western@entertainmentcommunity.org Phone: 323.330.2455",https://entertainmentcommunity.org/am-i-eligible-help,
Greater LA Area,,The SAG-AFTRA Foundation Disaster Relief Fund,"Information, Services",,,,,,The SAG-AFTRA Foundation Disaster Relief Fund is a program designed to provide urgent financial assistance to SAG-AFTRA members who have been affected by a natural disaster.,https://sagaftra.foundation,
Greater LA Area,,MusiCares,Services,,,,,,"MusiCares is a resource to music professionals impacted by natural disasters, including the fires in the Los Angeles area. We provide short-term and long-term disaster relief related to evacuation and relocation costs, instrument replacement/repair, home damage, medical care, mental health services, & other essential living needs. Contact MusiCares to get started:**

Reach out for help: MusiCaresRelief@musicares.org or 800.687.4227. MusiCares’ expert staff treat cases with integrity and confidentiality. 

For those who have worked in the music industry for 5+ years, eligible for $1500 in financial assistance + $500 in food vouchers. Reach out to above contact information for more details.",https://www.musicares.org/get-help,
Los Angeles,,Mickey Fine Pharmacy,Services," 433 N. Roxbury Drive Beverly Hills, CA 90210",,,,can help victims of the fires who evacuated without their medications with accessing medication.,,,
Remote,,Disaster Distress Helpline,Services,,,,,24/7 crisis counseling and support for individuals experiencing emotional distress related to natural disasters,"Call 1.800.985.5990 or text ""TalkWithUs"" to 66746 to connect with a trained crisis counselor.",,
Greater LA Area,,California HOPE Crisis Support,Services,,,,,free mental health support for individuals affected by the wildfires,Call 1.833.317.4673 or visit their website at CalHOPE.org.,,
Los Angeles,,EARTHY CORAZON,Free Items,"4015 City Terrace Dr., Los Angeles, California 90063",,,,"free herbal support for lung and respiratory health to help ease the effects of the smoke. For those without power, we also have free unscented candles available to provide light and comfort. And masks",,,
Los Angeles,,Baldwin Park Animal Care Center,Animal Boarding,"4275 Elton St, Baldwin Park",small,,,,,https://lacounty.gov/emergency/,
Los Angeles,,Thai Farmhouse,Free Prepared Meals,"5560 W Adams Blvd, Los Angeles, CA 90016",,,,"Free meals to rescue, emergency team, first responders, firefighters, and victims until Jan 24

(updated 01/10/25 8a)",,,
Los Angeles,,Cafe Tropical,"Free Items, Wifi/Charging","2900 W Sunset Blvd Los Angeles CA, Los Angeles, CA",,,donations for burrito project: Feedthestreets.info,"food, water, hygine 
staying open w/ coffee",,,
Pasadena,01/10/25 9:41 AM,We Are Neighbors and Friends,"Donation Drives, Free Items","88 E. Union Street, Pasadena, CA 91103",,,"food (tortillas, produce, bread, spinach, beans), hygiene products, donations to buy food and supplies

no more clothing needed at this time",food and supplies for first responders and affected people. Open 9-4pm daily.,donations can be sent on venmo to @saffroncowboy Volunteer sign up,,
East LA,1/10/2025 9:51:11,Barrio Action,"Wifi/Charging, Services",4927 Huntington Drive North,,,,"computers, homework assistance, activities and recreation to students 7:30AM-6PM Friday",,,
East LA,1/10/2025 9:51:19,The Boyle Heights Arts Conservatory,"Shelter, Wifi/Charging, Free Items",2708 E. Cesar E. Chavez Avenue,,,,"WiFi, air conditioning, refreshments, snacks to students 10AM-^pm Friday and Saturday",,,
Remote,1/10/2025 9:56:25,Bobbie,"Free Items, Food",,,,,"free Bobbie formula for LA families who have lost their homes 
https://hibobbie.typeform.com/to/la9n1ELh?typeform-source=www.hibobbie.com","Any parent - Bobbie customer or not — severely impacted by these fires can apply to have the rest of their feeding journey covered by Bobbie. As a team of moms we fiercely believe you should not have to worry about how to pay for formula while you figure out how to rebuild your entire life. Visit the link in bio to apply.
We are donating 1,000 cans to nonprofit and grassroots organizations who can immediately distribute donations on the ground. We will share locations as soon as we have them.
We are doing individual outreach to every subscriber in the impacted zip codes to understand what help they need during this time. If you need anything you can email us at hello@hibobbie.com
We are activating our Give a Can site for anyone to be able to donate a can of Bobbie to the parents in LA who need it. To help us give cans, visit the link in bio.",,
Remote,1/10/2025 9:58:51,CHIRLA,Information,,,,,"disaster assistance information for immigrant Californians
https://www.instagram.com/p/DEln_ULPPAs/?igsh=NTc4MTIwNjQ2YQ==",,,
Los Angeles,1/10/2025 11:00 AM,A Good Used Book,Donation Drives,"307 Glendale Blvd, Los Angeles, CA 90026",,,"water, canned food, clothing, blankets, hygiene products & emergency supplies (accepting today (1/10) through Sunday (1/12))",,"We’re here in the bookstore today through Sunday, 10am - 4pm if you’d like to donate water, canned food, clothing, blankets, hygiene products and emergency supplies for those impacted by the wildfires.",Instagram Post,
Los Angeles,1/10/2025 11:00 AM,Wellington Square Fire Relief Donation Drop-Off,Donation Drives,"4394 W Washington Blv,d 90016",,,"On Jan 19, 2025 from 9AM to 1PM
HOUSEHOLD SUPPLIES: bedding (new pillowcases), blankets (new, comforters), sleeping bags, flashlights and batteries, cat & dog food, toothpaste
COMFORT ITEMS: warm gloves or shawls, stuffed animals or plush toys, coloring books and crayons, small toys or games, storybooks, blankets, eye masks or earplugs (for sleeping), new socks or socks, portable blankets or lap throws
CLOTHING (NO USED CLOTHING): undergarments (new, all sizes), socks (new), shoes (gently used or new)
PERSONAL CARE: toothbrushes and toothpaste, soap, body wash, first aid supplies, shampoo and conditioner, deodorant, feminine hygiene products, towels and washcloths
Note: All items must be new and in original packaging.",,"Jan 19, 2025 from 9AM to 1PM
Here’s everything you need to know for my event at the Wellington Square Farmers Market on January 19, 9 AM - 1 PM! ** PLEASE NOTE! Items must be new and in their original packaging**
We’re accepting donations and specific items to help support the disaster. Meet us at the market and show your support!.",Instagram Page - Under Highlights,
Los Angeles,1/10 11:06 AM,Blue Collar Working Dog,"Free Items, Donation Drives","1328 Lake Shore Ave.
Los Angeles, CA 90026",,,"Pet food, hygiene/feminine products, shelf stable foods, water, first aid, masks & PPE","Pet food, hygiene/feminine products, shelf stable foods, water, first aid, masks & PPE",,https://www.instagram.com/p/DEoHCMcyg1H/,
Culver City,1/10 11:15 AM,Millcross Coffee,Free Items,"11050 Washington Blvd, Culver City, CA 90232",,,,Free coffee,Also donating a percentage of all daily profits from coffee and food,MillCross Coffee Instagram,
Covina,1/10 6:15 PM,Pie Trap Pizza,Donation Drives,"720 Arrow Hwy Suite A, Covina, CA 91722",,,donations for pizza drops,,,Instagram,
Pasadena,1/10 11:30 AM,Dots Cafe & Dessert Bar,"Free Prepared Meals, Free Items, Wifi/Charging","3819 East Colorado Blvd., Pasadena, California 91107",Pet friendly,,,"Open, pet-friendy space for those who need electricity; food also for fire evacuees and first responders",,Instagram,
Los Angeles,1/10 6:20 PM,Burger 3000,Donation Drives,"9846 Mason Ave, Chatsworth 91311",,,"11am - Midnight: Water, blankets/bedding, toiletries, diapers, pet food",,,"Instagram
818 Night Market Instagram",
Los Angeles,1/10 @ 11:30am,Boomtown Brewery,"Wifi/Charging, Services","700 Jackson St, Los Angeles, CA 90012",,,"Water, food, masks, dog food, feminine products, clean blankets, toys","Wifi, charging electronics, ","Operating usual business hours beginning at 3pm and their space is available for anyone, but if wanting to visit before 3pm please DM @boomtownbrewery on Instagram or email info@BoomtownBrew.com ",Instagram,
Los Angeles,1/10 @ 11:23am,Hopper Acupunture,Free Items,"5812 N. Figueroa Street     Los Angeles, CA 90042",,,,Free acupunture and/or herbal support for folks who have been displaced by the fires,Email kaylie@hopperacupuncture.com to book a slot. Space is limited.,Instagram,
Los Angeles,1/10 @ 11:43am,Dogs Without Borders,Animal Boarding,,Dogs,Need  long-term fosters so they can pull more dogs from Humane Society and shelters - they are trying to free up space for folks with pets who are needing a place for their pets.  - - - They also need pee pads & food (see link for list of food).,"pee pads, dog food, amazon wishlist: https://www.amazon.com/hz/wishlist/ls/1FF3S22ATCAA4/ref=hz_ls_biz_ex",,"If you can foster more than two weeks at a time, apply on their website www.dogswithoutborders.org",Instagram,
Greater LA Area,1/10 @ 1:18pm,805 UndocuFund,Information,,,,,Disaster support & relief resources to undocumented residents.,,Website,
Greater LA Area,1/10 @ 1:18pm,Dept. of Economic Opportunity,Information,,,,,Legal support for small business owners and undocumented entreprenuers,,Website,
Greater LA Area,1/10 @ 1:18pm,Healing Urban Barrios,Free Items,,,,,Free Emergency supplies - call 323-332-2997,,,
Remote,1/10 @2:56pm,Asian Mental Health Project,Services,,,,,"Hotlines & Warmlines for Support. Text ""THRIVE"" to begin a conversation from anywhere. 313-662-8209",,,
Remote,1/10 @2:56pm,Unidos Por La Musica,Services,,,,,Food Assistance call: 909-391-3999,,,
Culver City,1/10 @3:46pm,Westmont of Culver City Senior Living,Shelter,"11141 Washington Boulevard
Culver City, CA 90232",,,,"Discounted, private pay housing for seniors. Community fees waived.",,"Tracy Flaherty
tflaherty@westmontliving.com",
Greater LA Area,1/10 @3:46pm,Strategic Concepts in Organizing & Policy Education (SCOPE),"Free Items, Donation Drives","1715 W. Florence Avenue
Los Angeles, CA  90047",,,,"Free groceries and masks - walk-up or drive-ups welcome
Saturday 1/11/25 at 10:00 am until supplies run out",,Instagram Post,
Remote,1/10 @3:46pm,Fashion Brand Company,Free Items,,,,,New clothing - Women's fit XS - 4X & some children & gender-neutral clothing available,Email:  hi@fashionbrandcompany.com,,
Greater LA Area,1/10 @11:45am,List of Restaurants offering free meals ,Free Prepared Meals,"TATSU RAMEN, PASADENA
YEASTIE BOYS, PASADENA
WORLD CENTRAL KITCHEN, PASADENA
MOUNTAIN MIKE'S PIZZA, PASADENA
AGNES RESTAURANT, PASADENA
DOT'S CAFE, PASADENA
ROSE BOWL. PASADENA
STAR LEAF, PASADENA
FAT DRAGON, SILVER LAKE
OY BAR, STUDIO CITY
CAFE TROPICAL, SILVER LAKE
LA SORTED'S, SILVER LAKE
LOVE HOUR, KTOWN
LOWBOY, ECHO PARk
JEFF'S TABLE, HIGHLAND PARk
CRAFT BY SMOKE & FIRE (DM THEM)
626 ICE CREAM, ARCADIA
PIE TRAP PIZZA, COVINA
DANNY BOY'S PIZZA, DTLA",,,,Restaurants providing free meals to first responders and evacuees,"Additional Restaurants for First Responders: MOUNTAIN MIKE'S PIZZA. PASADENA
SHAKE SHACK, PASADENA
DIN TAI FUNG. MULTIPLE LOCATIONS
HOWLIN' RAY'S, PASADENA
NORMS, ALL LOCATIONS
JITLADA, EAST HOLLYWOOD
WAKE & LATE, PASADENA & DTLA
ZANKOU CHICKEN, ALL LOCATIONS
BLAZE PIZZA, ALL LOCATIONS
RED CHICKEN, SAN CABRIEL
IHOP, LA COUNTY LOCATIONS",https://www.instagram.com/p/DEp0gJ3v2zN/?img_index=2&igsh=NjZiM2M3MzIxNA%3D%3D,
Greater LA Area,1/10/ @12:35pm,St. Cyprian School,Donation Drives,"5133 E Arbor Rd, Long Beach, CA 90808",,,"New or gently used clothing (all sizes for all genders and ages), Undergarments (new, in original packaging), Socks and shoes (gently used or new), Baby clothing (onesies, blankets, socks, and shoes), Toiletries and hygiene items, Gloves or PPE for sifting through rubble

***From 1/10/25 - 1/16/25  8am - 3:30pm***",,,,
Pasadena,1/10 @ 2:15pm,South Pasadena San Marino YMCA,"Free Items, Services, Wifi/Charging, Donation Drives","1605 Garfield Ave, South Pasadena, CA 91030",no,,"non-perishable food, new & gently used clothes, new toiletries, children's toys, new bedding, blankets, N95 masks, phone chargers, baby items, pet supplies","showers & lockers, child activity center, fitness access center, wifi & work room, community space, friends. everyone welcome! ",,,
Silverlake,1/10 7:00 PM,Brain Dead Fabrications,Donation Drives,"3819 Sunset Blvd, Los Angeles, CA 90026",,,"fresh socks and underwear, dry food & canned food, medicines, feminine care products, baby food and diapers, bottled water, phone chargers & batteries, fresh bedding",,Accepting donations all weekend: Sat Jan 1/11 and Sun Jan 1/12 from 12-5PM,Instagram,
Fairfax,1/10 7:00 PM,Brain Dead Studios,Donation Drives,"611 N Fairfax Ave, Los Angeles, CA 90036",,,"fresh socks and underwear, dry food & canned food, medicines, feminine care products, baby food and diapers, bottled water, phone chargers & batteries, fresh bedding",,Accepting donations all weekend: Sat Jan 1/11 and Sun Jan 1/12 from 12-5PM,Instagram,
Koreatown,1/10 @ 2:39 PM,Kiwa Workers for Justice,"Services, Free Items","1053 S New Hampshire Ave, Los Angeles 90006",,,,Free N95 masks and Korean language assistance,,Instagram,
Remote,1/10 @ 2:41 PM,CERF+ Emergency Relief Grant,"Information, Services",,,,,"Up to $3000 to cover studio repairs, medical bills, replacement tools, and lost income FOR CRAFT AND VISUAL ARTISTS",,Grant Link,
Remote,1/10 @ 2:59 PM,Sweet Relief Musicians Fund,"Information, Services",,,,,"Funds for medical expenses, living costs, utilies, and other emergenceis FOR MUSICIANS AND MUSIC INDUSTRY WORKERS",,Grant Link,
Remote,1/10 @ 3:01 PM,Gottlieb Emergency Grant,"Information, Services",,,,,"Up to $15,000 for one-time assistance for specific emergencies for ESTABLISHED PAINTERS, PRINTMAKERS, and SCULPTORS",,Grant Link,
Chinatown,1/10 @ 3:15 PM,Alpine Recreation Center,"Services, Free Prepared Meals","817 Yale St, Los Angeles, CA 90012",,,,"Air quality relief, food, water, games and activities, PPE",,,
Atwater,1/10 @ 3:27 PM,Proof Bakery,Donation Drives,"3156 Glendale Blvd, Los Angeles, CA 90039",,,"Storage bins, unused towels and linens, new socks, hygiene items, paper towels, toilet paper, electrolyte drinks, sack lunches or sandwich  ingredients, condiments, cereal",,,Instagram,
USC,1/10 @ 3:34 PM,Water Drop LA,Donation Drives,"643 W 32nd St, Los Angeles, CA 90007",,At capacity for the drop on 1/12 but volunteers can sign up for a future water drop at wdla.carrd.co,"Clean clothing, tarps, snacks, masks, zip ties, first aid supplies, menstrual products, pet food, flaslights, items from wishlist at wdla.carrd.co ",,Accepting donations between 10am and 11:30am,Instagram,
Boyle Heights,1/10 @ 3:39 PM,Boyle Heights City Hall,"Donation Drives, Free Prepared Meals, Free Items","2130 1st St, Los Angeles, CA 90033",,,"Non-perishable food, coats, blankets, pet supplies, menstrual products, air fliters","Masks, water, prepared food",,Instagram,
Little Tokyo,1/10 @ 3:58 PM,J-Town Action,Donation Drives,,,,Funds for mutual aid to unhoused folks. Venmo @jtownaction,,,Instagram,
San Fernando Valley,1/10 @ 4 PM,Aetna Street Solidarity,Donation Drives,,,,Funds for direct relief to unhoused folks. Venmo @aetnastreetsolidarity,,,Instagram,
Los Angeles,1/10 @ 4:02 PM,dykesarekosher,Donation Drives,,,,Funds to purchase supplies for evacuation centers. Venmo @dykesarekosher,,,Instagram,
Gardena,1/10 @ 4:38 PM,Project Ropa,Free Items,"13970 Van Ness Ave, Gardena, CA",,,,"New and gently used clothing for adults and kids, new socks and underwear, menstrual products, blankets, hygiene kits",Open Saturday 1/11 10am-2pm; can also coordinate a drop-off,,
San Fernando Valley,1/10 @ 4PM,Midnight Hour SFV,Free Items,,,,,"Free water, drinks, clothing, food, toiletries, baby formula, diapers, batteries, toys, animal food, blankets, pillows, beddings, shoes and more","Today, 1/10/25, free pickups from 2pm to 7pm",Instagram Post,
Greater LA Area,1/10 @ 4PM,Restaurants Care Grants for Food & Beverage Workers,"Information, Services",,,,,"Emergency relief grants to food and beverage workers impacted by the Los Angeles Area Fires. Grants will range between $350-$1,500.","Restaurants Care opened a temporary fund, grants will be awarded based on need and available funding. Application opens on Jan 14",Restaurants Care Grants,
El Sereno,1/10 @ 4:15PM,Eastside Cafe & Mercado del Pueblo,"Free Items, Wifi/Charging, Donation Drives","5469 N Huntington Drive, Los Angeles, CA 90032",,Needed to help organize donations as they come through. DM them on Instagram,"Bins, Clothes racks, Medicinal herbs (no longer accepting clothes)","N95 Masks, Warm Clothes & Blankets, First Aid Supplies, Mensutral Items, Non-perishable food, pet supplies","Fri, 1/10 from 12PM-7PM
Sat, 1/11 from 10AM-3PM
Sun, 1/12 from 10AM-3PM",Instagram,
DTLA,1/10 @ 4:15PM,Radical Clothes Swap @ Angel City Brewery,"Free Items, Donation Drives, Wifi/Charging","216 S Alameda St, Los Angeles, CA 90012",,,,Clothes,"Sat, 1/11 from 12-4PM",Instagram,
Greater LA Area,1/10 @ 4:32 PM,Herb Club LA,Services,,,"Looking for herbalists, holistic practitioners and healers to be a part of a community wellness circle",Funds to go towards putting event together,"Consultations, remedies, and other forms of care for those affected by fires","February, exact date TBA",Instagram,
Pasadena,01/10 5:15p,Alder Law & Z.A. Law,"Free Items, Free Prepared Meals","324 Madeline Dr, Pasadena, CA 91105",,,,"Saturday 1/11/2025 from 12-2pm
Care Packages of Essentials & Grab & Go Prepared Meals","While supplies last
Drive-up Only - Click on Instagram link for directions",Instagram,
Pasadena,01/10 5:15p,Alder Law & Z.A. Law,Donation Drives,"12800 Riverside Drive Valley Village, CA, 91607",,,"Accepting donations 01/10 8a-8p

Toothbrush, toothpaste, deodorant, hair care, diapers, wipes, diaper cream, NEW clothes - underwear, socks, t shirts, medicines, sleeping bags, blankets, pilows, small stuffed animals or small toys

Travel size items ideal if possible",,Soliciting donations to distribute Saturday,Instagram,
Remote,1/10 @ 4:54 PM,Southern California Counseling Center,Services,,,,,"Four no-cost, trauma-informed sessions with referrals if you wish to continue services. Send an email to frontdesk@sccclink.com ","Services provided by pre-license interns, associates, and paraprofessionals",Instagram,
Pasadena,1/10 5:00p,East LA and Pasadena Sierra Madre YMCAs (posted up at Pasadena City College),"Free Items, Baby food/Items","196-228 S Hill Ave, Pasadena, CA 91106",,ONLY LOOKING FOR VOLUNTEERS AT NIGHT 6:30-8:30,NOT ACCEPTING DONATIONS 01/10,"Nonperishables, baby formula, water, blankets, clothes, etc ",Parking lot at the intersection of Hill and Del Mar,,
Palms,1/10 5:26 PM,Palms Unhoused Mutual Aid (PUMA),Donation Drives,,,,"Funds to continue outreach, mutual aid and advocacy for unhoused folks in Palms through fires crisis. Donate here",,,Instagram,
Los Angeles,1/10 2:30 PM,Quirk Vintage Store,Donation Drives,"112 West 9th St. Ste 200, Los Angeles, CA 90015",,looking for Volunteers ,"hangers, clothing racks",,bring snacks and drinks,,
Greater LA Area,1/10 5:41 PM,Housing Rights Center,Services,,,,,Housing rights counseling: call 1-800-477-5977 or 1-213-201-0867,,Instagram,
Los Angeles,,Arroyo Records,Donation Drives,"5123 1/2 York Blvd, Los Angeles, CA 90042",,,"clothes, non-expired foods, water",,,Instagram,
Encino,1/10 5:54 PM,Zartonk Media (Holy Martyrs Ferrahian High School),Donation Drives,"5300 White Oak Ave, Encino, CA 91316",,,"hygiene items, menstrual supplies, bottled water, blankets, first aid kits, diapers, formula, wipes, paper towels, portable chargers, pet food, new or lightly used clothes",,Call 818-396-7005 for info,Instagram,
Pasadena,1/10 7:00 PM,Zartonk Media (Jivalagian Youth Center),Donation Drives,"2242 E Foothill Blvd, Pasadena, CA 91107",,,"hygiene items, menstrual supplies, bottled water, blankets, first aid kits, diapers, formula, wipes, paper towels, portable chargers, pet food, new or lightly used clothes",,Call 818-396-7005 for info,Instagram,
